100,400,6,1,0.754,2208.8177423477173
100,400,8,1,0.748,22.875718593597412
100,400,10,1,0.72,28.381969928741455
100,400,15,1,0.68,44.952632188797
100,400,20,1,0.606,65.11935758590698
100,400,25,1,0.598,89.73435139656067
100,400,30,1,0.508,121.35661053657532
100,400,40,1,0.448,160.4609227180481
100,400,50,1,0.382,1959.2814104557037
100,400,60,1,0.302,282.99205112457275
100,400,70,1,0.314,856.7520980834961
100,400,80,1,0.328,445.0486340522766
100,400,90,1,0.45,2233.7785546779633
100,400,100,1,0.726,861.0104911327362
