100,60,10,0.03,0.0,294.3377015590668
100,80,10,0.03,0.0,308.2735900878906
100,100,10,0.03,0.0,322.98900604248047
100,150,10,0.03,0.01,355.4776437282562
100,200,10,0.03,0.01,383.49986958503723
100,250,10,0.03,0.01,413.9547700881958
100,300,10,0.03,0.04,439.83556747436523
100,350,10,0.03,0.06,463.20000076293945
100,400,10,0.03,0.06,495.0289340019226
100,60,10,0.01,0.0,263.9837760925293
100,80,10,0.01,0.02,266.9261119365692
100,100,10,0.01,0.04,271.2295138835907
100,150,10,0.01,0.16,264.166916847229
100,200,10,0.01,0.17,286.81571531295776
100,250,10,0.01,0.24,288.06132912635803
100,300,10,0.01,0.34,273.325870513916
100,350,10,0.01,0.45,246.66644883155823
